id,comprador_id,codigo
4263,23660,LAT5532-4263
1722,23661,LRC9669-1722
2621,23662,LAW6318-2621
219,23663,LAW6351-0219
1037,23664,LAT5532-1037
1331,23660,ETA7128-1331
2704,23666,UAN2468-2704
3978,23667,LUD7177-3978
616,23668,ETA6742-0616
4160,23669,LRC9669-4160
820,23670,COG4299-0820
4470,23666,LRC4743-4470
2542,23662,BTA8394-2542
4209,23673,XLE7933-4209
2855,23674,LUD5927-2855
372,23668,LRC4743-0372
1642,23676,QAF4466-1642
1,23677,XLE7933-0001
1433,23678,ADC8249-1433
2739,23679,LAT5532-2739
692,23680,IBE8751-0692
1269,23681,COG7539-1269
4772,23660,XLE3285-4772
3891,23683,EAL8271-3891
489,23685,NCY5615-0489
1991,23687,UAN2468-1991
3775,23688,LAM9554-3775
4782,23689,QAF4466-4782
2844,23690,AZI6476-2844
4365,23691,BTA9626-4365
4222,23678,LAW6318-4222
2151,23693,QAF6392-2151
2220,23668,LAM9554-2220
4247,23678,UAN2468-4247
2123,23696,IBE2338-2123
2288,23697,NCY5615-2288
629,23698,EAL7933-0629
2262,23699,COG7539-2262
3593,23702,AZI6476-3593
3180,23673,KAI3589-3180
9,23687,LAW6318-0009
3739,23705,QAF6392-3739
4437,23696,UAN2881-4437
807,23709,BTA8394-0807
873,23710,KAI7891-0873
4669,23693,MPH1782-4669
2504,23668,XLE3285-2504
1422,23668,EAL8271-1422
3366,23719,IBE8751-3366
4265,23720,AZI6476-4265
231,23721,UAN2881-0231
2218,23722,UAN2881-2218
2964,23723,UCA4751-2964
3845,23667,KAI3589-3845
1618,23725,IBE8751-1618
2910,23676,LAW6351-2910
2540,23727,ADC6283-2540
3231,23728,NCY5615-3231
2280,23729,ETA7128-2280
3588,23730,UAN2468-3588
4150,23731,BTA8394-4150
4660,23676,EAL8271-4660
3536,23681,XLE7933-3536
2875,23667,BTA9626-2875
1726,23696,LAM9574-1726
92,23738,UAN2468-0092
4236,23739,LAW1134-4236
2226,23740,LRC4743-2226
1286,23673,XLE5111-1286
2556,23742,LRC9669-2556
736,23691,XLE3285-0736
1016,23745,UAN2468-1016
4396,23746,LAW6351-4396
2029,23670,AZI6476-2029
1480,23688,LUD7177-1480
3396,23705,ADC6283-3396
628,23752,NCY1133-0628
182,23753,IBE2338-0182
